RowId,YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,Geolocation,ClassID,TopicID,QuestionID,LocationID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2
BRFSS~2015~2015~12~Q31~TCC02~AGE~RACE,2015,2015,FL,Florida,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,POINT (-81.92896053899966 28.932040377000476),C06,TCC02,Q31,12,AGE,AGE_OVERALL,RACE,NAA
BRFSS~2015~2015~17~Q31~TCC02~AGE~RACE,2015,2015,IL,Illinois,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,Overall,Race/Ethnicity,"Black, non-Hispanic",POINT (-88.99771017799969 40.48501028300046),C06,TCC02,Q31,17,AGE,AGE_OVERALL,RACE,BLK
BRFSS~2015~2015~01~Q31~TCC02~AGE~SEX,2015,2015,AL,Alabama,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,48.9,48.9,,,36.8,61.1,Age Group,50-64 years,Sex,Male,POINT (-86.63186076199969 32.84057112200048),C06,TCC02,Q31,1,AGE,5064,SEX,MALE
BRFSS~2015~2015~08~Q31~TCC02~AGE~RACE,2015,2015,CO,Colorado,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,Overall,Race/Ethnicity,"Black, non-Hispanic",POINT (-106.13361092099967 38.843840757000464),C06,TCC02,Q31,8,AGE,AGE_OVERALL,RACE,BLK
BRFSS~2015~2015~01~Q31~TCC02~AGE~RACE,2015,2015,AL,Alabama,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,33.4,33.4,,,26.2,41.6,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic",POINT (-86.63186076199969 32.84057112200048),C06,TCC02,Q31,1,AGE,65PLUS,RACE,WHT
BRFSS~2015~2015~13~Q31~TCC02~AGE~RACE,2015,2015,GA,Georgia,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,46.8,46.8,,,35.8,58.0,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",POINT (-83.62758034599966 32.83968109300048),C06,TCC02,Q31,13,AGE,5064,RACE,WHT
BRFSS~2015~2015~17~Q31~TCC02~AGE~RACE,2015,2015,IL,Illinois,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,36.0,36.0,,,24.6,49.1,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",POINT (-88.99771017799969 40.48501028300046),C06,TCC02,Q31,17,AGE,5064,RACE,WHT
BRFSS~2015~2015~04~Q31~TCC02~AGE~SEX,2015,2015,AZ,Arizona,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,21.1,21.1,,,14.4,29.8,Age Group,65 years or older,Sex,Male,POINT (-111.76381127699972 34.865970280000454),C06,TCC02,Q31,4,AGE,65PLUS,SEX,MALE
BRFSS~2015~2015~17~Q31~TCC02~AGE~RACE,2015,2015,IL,Illinois,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,24.3,24.3,,,17.1,33.3,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic",POINT (-88.99771017799969 40.48501028300046),C06,TCC02,Q31,17,AGE,65PLUS,RACE,WHT
BRFSS~2015~2015~06~Q31~TCC02~AGE~RACE,2015,2015,CA,California,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,20.4,20.4,,,11.2,34.3,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic",POINT (-120.99999953799971 37.63864012300047),C06,TCC02,Q31,6,AGE,65PLUS,RACE,WHT
BRFSS~2015~2015~12~Q31~TCC02~AGE~SEX,2015,2015,FL,Florida,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,50-64 years,Sex,Male,POINT (-81.92896053899966 28.932040377000476),C06,TCC02,Q31,12,AGE,5064,SEX,MALE
BRFSS~2015~2015~08~Q31~TCC02~AGE~SEX,2015,2015,CO,Colorado,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,17.3,17.3,,,9.3,29.8,Age Group,65 years or older,Sex,Female,POINT (-106.13361092099967 38.843840757000464),C06,TCC02,Q31,8,AGE,65PLUS,SEX,FEMALE
BRFSS~2015~2015~04~Q31~TCC02~AGE~OVERALL,2015,2015,AZ,Arizona,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,44.6,44.6,,,36.6,52.9,Age Group,50-64 years,,,POINT (-111.76381127699972 34.865970280000454),C06,TCC02,Q31,4,AGE,5064,OVERALL,OVERALL
BRFSS~2015~2015~15~Q31~TCC02~AGE~SEX,2015,2015,HI,Hawaii,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,51.3,51.3,,,37.1,65.2,Age Group,50-64 years,Sex,Female,POINT (-157.85774940299973 21.304850435000446),C06,TCC02,Q31,15,AGE,5064,SEX,FEMALE
BRFSS~2015~2015~15~Q31~TCC02~AGE~OVERALL,2015,2015,HI,Hawaii,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,37.0,37.0,,,28.2,46.8,Age Group,65 years or older,,,POINT (-157.85774940299973 21.304850435000446),C06,TCC02,Q31,15,AGE,65PLUS,OVERALL,OVERALL
BRFSS~2015~2015~19~Q31~TCC02~AGE~RACE,2015,2015,IA,Iowa,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,27.5,27.5,,,20.2,36.2,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",POINT (-93.81649055599968 42.46940091300047),C06,TCC02,Q31,19,AGE,5064,RACE,WHT
BRFSS~2015~2015~13~Q31~TCC02~AGE~RACE,2015,2015,GA,Georgia,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,65 years or older,Race/Ethnicity,Hispanic,POINT (-83.62758034599966 32.83968109300048),C06,TCC02,Q31,13,AGE,65PLUS,RACE,HIS
BRFSS~2015~2015~11~Q31~TCC02~AGE~RACE,2015,2015,DC,District of Columbia,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,50-64 years,Race/Ethnicity,Hispanic,POINT (-77.036871 38.907192),C06,TCC02,Q31,11,AGE,5064,RACE,HIS
BRFSS~2015~2015~01~Q31~TCC02~AGE~RACE,2015,2015,AL,Alabama,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,Overall,Race/Ethnicity,Asian/Pacific Islander,POINT (-86.63186076199969 32.84057112200048),C06,TCC02,Q31,1,AGE,AGE_OVERALL,RACE,ASN
BRFSS~2015~2015~06~Q31~TCC02~AGE~OVERALL,2015,2015,CA,California,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,43.6,43.6,,,31.2,57.0,Age Group,50-64 years,,,POINT (-120.99999953799971 37.63864012300047),C06,TCC02,Q31,6,AGE,5064,OVERALL,OVERALL
BRFSS~2015~2015~19~Q31~TCC02~AGE~SEX,2015,2015,IA,Iowa,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,29.5,29.5,,,22.7,37.4,Age Group,Overall,Sex,Female,POINT (-93.81649055599968 42.46940091300047),C06,TCC02,Q31,19,AGE,AGE_OVERALL,SEX,FEMALE
BRFSS~2015~2015~13~Q31~TCC02~AGE~RACE,2015,2015,GA,Georgia,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,POINT (-83.62758034599966 32.83968109300048),C06,TCC02,Q31,13,AGE,65PLUS,RACE,ASN
BRFSS~2015~2015~17~Q31~TCC02~AGE~RACE,2015,2015,IL,Illinois,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,POINT (-88.99771017799969 40.48501028300046),C06,TCC02,Q31,17,AGE,65PLUS,RACE,ASN
BRFSS~2015~2015~05~Q31~TCC02~AGE~RACE,2015,2015,AR,Arkansas,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,58.6,58.6,,,34.4,79.4,Age Group,Overall,Race/Ethnicity,"Black, non-Hispanic",POINT (-92.27449074299966 34.74865012400045),C06,TCC02,Q31,5,AGE,AGE_OVERALL,RACE,BLK
BRFSS~2015~2015~11~Q31~TCC02~AGE~OVERALL,2015,2015,DC,District of Columbia,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,30.9,30.9,,,21.4,42.3,Age Group,65 years or older,,,POINT (-77.036871 38.907192),C06,TCC02,Q31,11,AGE,65PLUS,OVERALL,OVERALL
BRFSS~2015~2015~08~Q31~TCC02~AGE~RACE,2015,2015,CO,Colorado,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,50-64 years,Race/Ethnicity,Asian/Pacific Islander,POINT (-106.13361092099967 38.843840757000464),C06,TCC02,Q31,8,AGE,5064,RACE,ASN
BRFSS~2015~2015~15~Q31~TCC02~AGE~RACE,2015,2015,HI,Hawaii,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,53.0,53.0,,,34.5,70.7,Age Group,50-64 years,Race/Ethnicity,Asian/Pacific Islander,POINT (-157.85774940299973 21.304850435000446),C06,TCC02,Q31,15,AGE,5064,RACE,ASN
BRFSS~2015~2015~04~Q31~TCC02~AGE~RACE,2015,2015,AZ,Arizona,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,43.1,43.1,,,34.0,52.6,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",POINT (-111.76381127699972 34.865970280000454),C06,TCC02,Q31,4,AGE,5064,RACE,WHT
BRFSS~2015~2015~15~Q31~TCC02~AGE~RACE,2015,2015,HI,Hawaii,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,POINT (-157.85774940299973 21.304850435000446),C06,TCC02,Q31,15,AGE,AGE_OVERALL,RACE,NAA
BRFSS~2015~2015~19~Q31~TCC02~AGE~RACE,2015,2015,IA,Iowa,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,POINT (-93.81649055599968 42.46940091300047),C06,TCC02,Q31,19,AGE,65PLUS,RACE,ASN
BRFSS~2015~2015~19~Q31~TCC02~AGE~OVERALL,2015,2015,IA,Iowa,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,23.7,23.7,,,19.0,29.1,Age Group,Overall,,,POINT (-93.81649055599968 42.46940091300047),C06,TCC02,Q31,19,AGE,AGE_OVERALL,OVERALL,OVERALL
BRFSS~2015~2015~12~Q31~TCC02~AGE~RACE,2015,2015,FL,Florida,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,26.7,26.7,,,19.5,35.3,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic",POINT (-81.92896053899966 28.932040377000476),C06,TCC02,Q31,12,AGE,65PLUS,RACE,WHT
BRFSS~2015~2015~08~Q31~TCC02~AGE~OVERALL,2015,2015,CO,Colorado,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,18.0,18.0,,,12.0,26.0,Age Group,65 years or older,,,POINT (-106.13361092099967 38.843840757000464),C06,TCC02,Q31,8,AGE,65PLUS,OVERALL,OVERALL
